city,stateAbbr,per_dem,per_gop
Eldred,IL,0.307587077765,0.625381458487
Walkersville,MD,0.297012433658,0.649565195724
Niota,TN,0.187600299561,0.784904247352
Clifton,OH,0.307587077765,0.625381458487
Columbia,MS,0.302313400262,0.636927106067
Malone,FL,0.218698381236,0.739924017179
Dry Prong,LA,0.103134479272,0.877249747219
Clifton,TX,0.163780941388,0.811209439528
Fremont,IN,0.29226278894,0.653871211529
Minster,OH,0.167322834646,0.793088363955
Mona,UT,0.106967615309,0.676889106968
Peterson,MN,0.211879124696,0.729419937478
Deer River,MN,0.381183932347,0.546300211416
Berthoud,CO,0.475355472235,0.426123147857
Freeport,NY,0.512509818244,0.45940041591
Crocker,MO,0.275939650609,0.682503970355
Arcadia,CA,0.714071865319,0.233886938213
Jeffersonville,KY,0.46879025647,0.455673966507
Pittsville,MD,0.421646609163,0.537988740251
Concord,MI,0.218698381236,0.739924017179
Pontiac,MI,0.517110312022,0.435921327393
Hoschton,GA,0.218698381236,0.739924017179
Moose Lake,MN,0.468464477546,0.45185226203
Berthold,ND,0.228537943159,0.744506299443
Pembroke,KY,0.205464560081,0.747475479538
Pikeville,TN,0.192688172043,0.778709677419
Vermillion,MN,0.400055104009,0.554897368784
Pleasant Hill,TN,0.416820512821,0.55241025641
Bowerston,OH,0.275405482991,0.670554040477
Ramsey,IL,0.279581220781,0.675775334167
South Dayton,NY,0.30099098788,0.644591001692
Long Beach,MS,0.275405482991,0.670554040477
Mead,NE,0.236742781657,0.706359690508
Osage,OK,0.29526977088,0.663023967902
Litchfield Park,AZ,0.456797128628,0.491262415407
Baker,MO,0.160853143746,0.808487002888
Passaic,NJ,0.595497596497,0.378045362482
Tazewell,TN,0.171025593125,0.802260414721
Rainsville,AL,0.225648414986,0.74409221902
Baker,MT,0.10447761194,0.865671641791
Bear Lake,MI,0.395221463724,0.548896650262
Hutchinson,MN,0.266431171055,0.65055662599
Guys,TN,0.184055804684,0.781165919283
Fox River Grove,IL,0.176404912542,0.740975065128
Albany,VT,0.471514379323,0.469421186749
Grand Tower,IL,0.218698381236,0.739924017179
Greenbush,MN,0.2389597013,0.701815372731
Demopolis,AL,0.512148337596,0.477164778955
Clinton,OH,0.241811716264,0.713737600599
Clinton,OK,0.237489397795,0.697625106022
Norwalk,WI,0.192063492063,0.764902998236
Opp,AL,0.371672354949,0.616951080774
Unadilla,GA,0.48488008342,0.505995828989
King City,MO,0.199472469502,0.759643916914
Clintonville,WI,0.325722804127,0.628182495783
Asheville,NC,0.557123421086,0.411420966939
Steilacoom,WA,0.39736355446,0.533927640002
Riverton,WY,0.253883817929,0.675028713051
Yankton,SD,0.34328202995,0.587978369384
Olmitz,KS,0.134018880647,0.835805799056
Boulder,UT,0.224025974026,0.68262987013
Cuyahoga Heights,OH,0.658357766233,0.308444353
Verdigre,NE,0.181885125184,0.79381443299
Marble City,OK,0.212024658863,0.754173304703
Morrisville,NC,0.583929619916,0.378923161232
Lake Odessa,MI,0.311257775755,0.62107419208
Panhandle,TX,0.0845500848896,0.888624787776
Box Elder,SD,0.294799019711,0.624285205588
Afton,MN,0.273509430003,0.678448705506
Valliant,OK,0.167989541507,0.806984779158
Polk,NE,0.33352430479,0.610991141862
Union,WA,0.204547701434,0.751062778052
Peninsula,OH,0.509164059008,0.35563502707
Sasakwa,OK,0.25734561753,0.698705179283
Morse,LA,0.205871613233,0.77262104725
Fowler,IN,0.103134479272,0.877249747219
Wenona,IL,0.221203087977,0.731101429336
Margaretville,NY,0.593925542074,0.374111757106
Rolla,KS,0.197915996655,0.728050427735
Parsons,WV,0.216512702079,0.738163972286
Claremont,MN,0.326217945724,0.622238310991
Kootenai,ID,0.245361011375,0.670563919983
Jefferson,SD,0.162798194713,0.809800128949
Foster,OK,0.100781928758,0.878366637706
Selbyville,DE,0.570691024623,0.408061953932
Bluff City,KS,0.0882154882155,0.880134680135
Barryton,MI,0.339786576477,0.600909674033
Tuttle,ND,0.131811487482,0.814432989691
Burt,IA,0.297354497354,0.66278659612
Silverstreet,SC,0.36987198571,0.596070259006
La Salle,CO,0.342843261828,0.567172434412
Saugatuck,MI,0.325131905789,0.613058219861
Gladstone,ND,0.389663365873,0.563856310134
Niagara Falls,NY,0.382418604651,0.572360465116
Palmyra,NY,0.221087533156,0.734549071618
Wedowee,AL,0.251849112426,0.701090976331
Cleveland,VA,0.190897908979,0.780319803198
Amarillo,TX,0.268972820332,0.688280974232
Imlay City,MI,0.282187652351,0.665625138501
Blythewood,SC,0.449258980156,0.505023863351
Merino,CO,0.169062119367,0.80113682501
Starkville,CO,0.39055729867,0.546242342746
