,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
308,32244.0,"Lineville city, Alabama",45591.0
309,27304.0,"Lipscomb city, Alabama",47522.0
310,,"Lisman town, Alabama",49597.0
311,45188.0,"Littleville town, Alabama",51478.0
312,16063.0,"Livingston city, Alabama",34893.0
313,37500.0,"Loachapoka town, Alabama",38542.0
314,35625.0,"Lockhart town, Alabama",38781.0
315,56250.0,"Locust Fork town, Alabama",58872.0
316,52917.0,"Lookout Mountain CDP, Alabama",59219.0
317,32813.0,"Louisville town, Alabama",43008.0
318,45250.0,"Lowndesboro town, Alabama",57660.0
319,50076.0,"Loxley town, Alabama",74703.0
320,29618.0,"Luverne city, Alabama",44630.0
321,33672.0,"Lynn town, Alabama",39546.0
322,18750.0,"McDonald Chapel CDP, Alabama",30882.0
323,14180.0,"Macedonia CDP, Alabama",20685.0
324,46786.0,"McIntosh town, Alabama",61832.0
325,28333.0,"McKenzie town, Alabama",36746.0
326,23125.0,"McMullen town, Alabama",19020.0
327,95423.0,"Madison city, Alabama",111800.0
328,39792.0,"Madrid town, Alabama",45914.0
329,49135.0,"Magnolia Springs town, Alabama",61949.0
330,,"Malcolm CDP, Alabama",
331,35069.0,"Malvern town, Alabama",43679.0
332,33462.0,"Maplesville town, Alabama",44122.0
333,40446.0,"Marbury CDP, Alabama",89011.0
334,65918.0,"Margaret town, Alabama",68812.0
335,27088.0,"Marion city, Alabama",42016.0
336,53409.0,"Maytown town, Alabama",57337.0
337,93139.0,"Meadowbrook CDP, Alabama",108714.0
338,,"Megargel CDP, Alabama",
339,,"Memphis town, Alabama",75611.0
340,52679.0,"Mentone town, Alabama",91135.0
341,68775.0,"Meridianville CDP, Alabama",86552.0
342,36647.0,"Midfield city, Alabama",45410.0
343,26269.0,"Midland City town, Alabama",44975.0
344,24722.0,"Midway town, Alabama",32944.0
345,32240.0,"Mignon CDP, Alabama",34716.0
346,59435.0,"Millbrook city, Alabama",72593.0
347,37969.0,"Millerville CDP, Alabama",35387.0
348,31150.0,"Millport town, Alabama",41176.0
349,32813.0,"Millry town, Alabama",52432.0
350,48281.0,"Minor CDP, Alabama",51654.0
351,38759.0,"Mobile city, Alabama",56008.0
352,27433.0,"Monroeville city, Alabama",42437.0
353,38472.0,"Montevallo city, Alabama",49817.0
354,43440.0,"Montgomery city, Alabama",61714.0
355,60911.0,"Moody city, Alabama",68370.0
356,68768.0,"Moores Mill CDP, Alabama",81554.0
357,113125.0,"Mooresville town, Alabama",219175.0
358,68958.0,"Morris town, Alabama",79216.0
359,21180.0,"Morrison Crossroads CDP, Alabama",29075.0
360,15170.0,"Mosses town, Alabama",25948.0
361,30063.0,"Moulton city, Alabama",42837.0
362,47370.0,"Moundville town, Alabama",56888.0
363,129777.0,"Mountain Brook city, Alabama",197330.0
364,34507.0,"Mount Olive CDP (Coosa County), Alabama",38867.0
365,69429.0,"Mount Olive CDP (Jefferson County), Alabama",79154.0
366,40671.0,"Mount Vernon town, Alabama",45043.0
367,67679.0,"Movico CDP, Alabama",50307.0
368,40750.0,"Mulga town, Alabama",45719.0
369,35833.0,"Munford town, Alabama",44157.0
370,52132.0,"Muscle Shoals city, Alabama",63860.0
371,38750.0,"Myrtlewood town, Alabama",45289.0
372,,"Nanafalia CDP, Alabama",25253.0
373,51359.0,"Nances Creek CDP, Alabama",61502.0
374,30982.0,"Napier Field town, Alabama",36378.0
375,93393.0,"Natural Bridge town, Alabama",70908.0
376,35625.0,"Nauvoo town, Alabama",41214.0
377,43125.0,"Nectar town, Alabama",52120.0
378,68750.0,"Needham town, Alabama",74516.0
379,18636.0,"Newbern town, Alabama",32455.0
380,44261.0,"New Brockton town, Alabama",50208.0
381,47039.0,"New Hope city, Alabama",57371.0
382,60282.0,"New Market CDP, Alabama",64336.0
383,48958.0,"New Site town, Alabama",57194.0
384,44167.0,"Newton town, Alabama",56224.0
385,41899.0,"New Union CDP, Alabama",44028.0
386,31681.0,"Newville town, Alabama",36545.0
387,22917.0,"North Courtland town, Alabama",29942.0
388,40000.0,"North Johns town, Alabama",53099.0
389,52281.0,"Northport city, Alabama",63023.0
390,40938.0,"Notasulga town, Alabama",48069.0
391,45833.0,"Oak Grove town, Alabama",49321.0
392,9286.0,"Oak Hill town, Alabama",17510.0
393,28750.0,"Oakman town, Alabama",41151.0
394,69792.0,"Odenville town, Alabama",73340.0
395,50268.0,"Ohatchee town, Alabama",58281.0
396,46750.0,"Oneonta city, Alabama",62328.0
397,23750.0,"Onycha town, Alabama",36331.0
398,41566.0,"Opelika city, Alabama",57981.0
399,32923.0,"Opp city, Alabama",45850.0
400,59523.0,"Orange Beach city, Alabama",89118.0
401,13281.0,"Orrville town, Alabama",25508.0
402,38224.0,"Our Town CDP, Alabama",53914.0
403,71094.0,"Owens Cross Roads town, Alabama",76270.0
404,51928.0,"Oxford city, Alabama",65121.0
405,37522.0,"Ozark city, Alabama",51861.0
406,28333.0,"Paint Rock town, Alabama",35891.0
407,,"Panola CDP, Alabama",
408,30172.0,"Parrish town, Alabama",37846.0
409,71864.0,"Pelham city, Alabama",83214.0
410,47936.0,"Pell City city, Alabama",67902.0
411,23750.0,"Pennington town, Alabama",36023.0
412,30030.0,"Penton CDP, Alabama",31380.0
413,28313.0,"Perdido CDP, Alabama",31063.0
414,46875.0,"Perdido Beach town, Alabama",67427.0
415,,"Peterman CDP, Alabama",72086.0
416,51250.0,"Petrey town, Alabama",50692.0
417,39691.0,"Phenix City city, Alabama",54102.0
418,25119.0,"Phil Campbell town, Alabama",34894.0
419,27321.0,"Pickensville town, Alabama",40421.0
420,31181.0,"Piedmont city, Alabama",46214.0
421,94805.0,"Pike Road town, Alabama",102018.0
422,31429.0,"Pinckard town, Alabama",55341.0
423,22500.0,"Pine Apple town, Alabama",37479.0
424,24848.0,"Pine Hill town, Alabama",39172.0
425,60744.0,"Pine Level CDP, Alabama",68884.0
426,26250.0,"Pine Ridge town, Alabama",28570.0
427,60227.0,"Pinson city, Alabama",67177.0
428,30417.0,"Pisgah town, Alabama",38369.0
429,63292.0,"Pleasant Grove city, Alabama",69997.0
430,43125.0,"Pleasant Groves town, Alabama",56927.0
431,,"Point Clear CDP, Alabama",100188.0
432,31250.0,"Pollard town, Alabama",46414.0
433,37837.0,"Powell town, Alabama",52363.0
434,56364.0,"Prattville city, Alabama",69388.0
435,92857.0,"Priceville town, Alabama",98443.0
436,25275.0,"Prichard city, Alabama",36316.0
437,41429.0,"Providence town, Alabama",56644.0
438,,"Putnam CDP, Alabama",47259.0
439,34583.0,"Ragland town, Alabama",44679.0
440,49496.0,"Rainbow City city, Alabama",58705.0
441,39477.0,"Rainsville city, Alabama",46679.0
442,48393.0,"Ranburne town, Alabama",60349.0
443,47679.0,"Ray CDP, Alabama",44397.0
