,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
21661,29345.0,"Boswell borough, Pennsylvania",41043.0
21662,63750.0,"Bowers CDP, Pennsylvania",64444.0
21663,51806.0,"Bowmanstown borough, Pennsylvania",63958.0
21664,56500.0,"Bowmansville CDP, Pennsylvania",68904.0
21665,40781.0,"Boyertown borough, Pennsylvania",52574.0
21666,40753.0,"Brackenridge borough, Pennsylvania",63837.0
21667,24551.0,"Braddock borough, Pennsylvania",29957.0
21668,31000.0,"Braddock Hills borough, Pennsylvania",48331.0
21669,41875.0,"Bradenville CDP, Pennsylvania",50342.0
21670,35551.0,"Bradford city, Pennsylvania",48716.0
21671,103750.0,"Bradford Woods borough, Pennsylvania",139272.0
21672,40500.0,"Branchdale CDP, Pennsylvania",50554.0
21673,53125.0,"Brandonville CDP, Pennsylvania",58724.0
21674,63750.0,"Brave CDP, Pennsylvania",64362.0
21675,91365.0,"Breinigsville CDP, Pennsylvania",105237.0
21676,51197.0,"Brentwood borough, Pennsylvania",65563.0
21677,57244.0,"Bressler CDP, Pennsylvania",62958.0
21678,21453.0,"Briar Creek borough, Pennsylvania",35714.0
21679,85417.0,"Brickerville CDP, Pennsylvania",95201.0
21680,47622.0,"Bridgeport borough, Pennsylvania",61746.0
21681,45849.0,"Bridgeville borough, Pennsylvania",59522.0
21682,51167.0,"Bridgewater borough, Pennsylvania",57139.0
21683,34792.0,"Brisbin borough, Pennsylvania",51292.0
21684,42962.0,"Bristol borough, Pennsylvania",56906.0
21685,81731.0,"Brittany Farms-The Highlands CDP, Pennsylvania",104391.0
21686,49844.0,"Broad Top City borough, Pennsylvania",60099.0
21687,40321.0,"Brockway borough, Pennsylvania",51554.0
21688,54432.0,"Brodheadsville CDP, Pennsylvania",70860.0
21689,67348.0,"Brookhaven borough, Pennsylvania",82396.0
21690,44395.0,"Brookville borough, Pennsylvania",54668.0
21691,78133.0,"Broomall CDP, Pennsylvania",90385.0
21692,46313.0,"Brownstown borough, Pennsylvania",50638.0
21693,67589.0,"Brownstown CDP, Pennsylvania",74136.0
21694,27359.0,"Brownsville borough, Pennsylvania",40005.0
21695,53352.0,"Browntown CDP, Pennsylvania",65620.0
21696,48750.0,"Bruin borough, Pennsylvania",53610.0
21697,100227.0,"Bryn Athyn borough, Pennsylvania",128306.0
21698,54318.0,"Bryn Mawr CDP, Pennsylvania",98988.0
21699,60417.0,"Buckhorn CDP, Pennsylvania",75273.0
21700,47917.0,"Buck Run CDP, Pennsylvania",61304.0
21701,,"Buffington CDP, Pennsylvania",48793.0
21702,45750.0,"Bulger CDP, Pennsylvania",49890.0
21703,46750.0,"Burgettstown borough, Pennsylvania",54008.0
21704,55313.0,"Burlington borough, Pennsylvania",54929.0
21705,45241.0,"Burnham borough, Pennsylvania",51423.0
21706,38281.0,"Burnside borough, Pennsylvania",48487.0
21707,29477.0,"Butler city, Pennsylvania",42935.0
21708,50000.0,"Byrnedale CDP, Pennsylvania",53256.0
21709,37639.0,"Cairnbrook CDP, Pennsylvania",45227.0
21710,36820.0,"California borough, Pennsylvania",62709.0
21711,,"Callensburg borough, Pennsylvania",43832.0
21712,77500.0,"Callery borough, Pennsylvania",77630.0
21713,76250.0,"Callimont borough, Pennsylvania",88619.0
21714,62383.0,"Caln CDP, Pennsylvania",80643.0
21715,51573.0,"Calumet CDP, Pennsylvania",62963.0
21716,47772.0,"Cambridge Springs borough, Pennsylvania",60849.0
21717,61287.0,"Campbelltown CDP, Pennsylvania",82602.0
21718,71039.0,"Camp Hill borough, Pennsylvania",89901.0
21719,32083.0,"Canadohta Lake CDP, Pennsylvania",40523.0
21720,50399.0,"Canonsburg borough, Pennsylvania",59786.0
21721,36635.0,"Canton borough, Pennsylvania",47181.0
21722,33622.0,"Carbondale city, Pennsylvania",49396.0
21723,46971.0,"Carlisle borough, Pennsylvania",64795.0
21724,35625.0,"Carmichaels borough, Pennsylvania",59167.0
21725,45109.0,"Carnegie borough, Pennsylvania",64674.0
21726,58988.0,"Carnot-Moon CDP, Pennsylvania",73946.0
21727,47768.0,"Carrolltown borough, Pennsylvania",54080.0
21728,89236.0,"Carroll Valley borough, Pennsylvania",102172.0
21729,53553.0,"Cashtown CDP, Pennsylvania",49650.0
21730,35625.0,"Cassandra borough, Pennsylvania",48882.0
21731,47083.0,"Casselman borough, Pennsylvania",47348.0
21732,27813.0,"Cassville borough, Pennsylvania",39876.0
21733,48235.0,"Castanea CDP, Pennsylvania",60549.0
21734,50783.0,"Castle Shannon borough, Pennsylvania",61933.0
21735,51801.0,"Catasauqua borough, Pennsylvania",56535.0
21736,38333.0,"Catawissa borough, Pennsylvania",45667.0
21737,81739.0,"Cecil-Bishop CDP, Pennsylvania",90237.0
21738,32679.0,"Cedar Crest CDP, Pennsylvania",36201.0
21739,57417.0,"Cementon CDP, Pennsylvania",71516.0
21740,47500.0,"Centerport borough, Pennsylvania",68195.0
21741,33750.0,"Centerville borough (Crawford County), Pennsylvania",42731.0
21742,65267.0,"Centerville borough (Washington County), Pennsylvania",69141.0
21743,40509.0,"Central City borough, Pennsylvania",46491.0
21744,,"Centralia borough, Pennsylvania",45517.0
21745,57604.0,"Centre Hall borough, Pennsylvania",67859.0
21746,65021.0,"Cetronia CDP, Pennsylvania",75659.0
21747,44659.0,"Chalfant borough, Pennsylvania",53781.0
21748,94000.0,"Chalfont borough, Pennsylvania",112232.0
21749,,"Chalkhill CDP, Pennsylvania",62538.0
21750,42432.0,"Chambersburg borough, Pennsylvania",52895.0
21751,57500.0,"Chapman borough, Pennsylvania",62689.0
21752,31143.0,"Charleroi borough, Pennsylvania",40628.0
21753,58558.0,"Chase CDP, Pennsylvania",84607.0
21754,36538.0,"Cherry Tree borough, Pennsylvania",48753.0
21755,44375.0,"Cherry Valley borough, Pennsylvania",56176.0
21756,67438.0,"Cherryville CDP, Pennsylvania",76848.0
21757,27217.0,"Chester city, Pennsylvania",39181.0
21758,113966.0,"Chesterbrook CDP, Pennsylvania",126486.0
21759,85801.0,"Chester Heights borough, Pennsylvania",100211.0
21760,43958.0,"Chester Hill borough, Pennsylvania",51374.0
21761,45417.0,"Chest Springs borough, Pennsylvania",58748.0
21762,55321.0,"Cheswick borough, Pennsylvania",70039.0
21763,36445.0,"Chevy Chase Heights CDP, Pennsylvania",57417.0
21764,54013.0,"Chewton CDP, Pennsylvania",54708.0
21765,,"Cheyney University CDP, Pennsylvania",
21766,47125.0,"Chicora borough, Pennsylvania",59940.0
21767,50446.0,"Chinchilla CDP, Pennsylvania",78745.0
21768,55833.0,"Christiana borough, Pennsylvania",62418.0
21769,57188.0,"Church Hill CDP, Pennsylvania",69174.0
21770,88605.0,"Churchill borough, Pennsylvania",115429.0
21771,67222.0,"Churchtown CDP, Pennsylvania",77137.0
21772,128520.0,"Churchville CDP, Pennsylvania",160563.0
21773,30513.0,"Clairton city, Pennsylvania",42846.0
21774,50313.0,"Clarence CDP, Pennsylvania",60175.0
21775,35250.0,"Clarendon borough, Pennsylvania",44488.0
21776,27372.0,"Clarion borough, Pennsylvania",46349.0
21777,62083.0,"Clark borough, Pennsylvania",65839.0
21778,75417.0,"Clarks Green borough, Pennsylvania",97281.0
21779,74304.0,"Clarks Summit borough, Pennsylvania",78711.0
21780,59000.0,"Clarksville borough, Pennsylvania",66465.0
21781,63346.0,"Clay CDP, Pennsylvania",73935.0
21782,35759.0,"Claysburg CDP, Pennsylvania",44036.0
21783,43269.0,"Claysville borough, Pennsylvania",56186.0
21784,40034.0,"Clearfield borough, Pennsylvania",47250.0
21785,58232.0,"Cleona borough, Pennsylvania",63327.0
21786,44727.0,"Clifton Heights borough, Pennsylvania",56245.0
21787,,"Clinton CDP, Pennsylvania",59840.0
21788,48500.0,"Clintonville borough, Pennsylvania",54519.0
21789,35000.0,"Clymer borough, Pennsylvania",43318.0
21790,45139.0,"Coal Center borough, Pennsylvania",59391.0
21791,41250.0,"Coaldale borough (Bedford County), Pennsylvania",45718.0
21792,33393.0,"Coaldale borough (Schuylkill County), Pennsylvania",41989.0
21793,41875.0,"Coalmont borough, Pennsylvania",41165.0
21794,22292.0,"Coalport borough, Pennsylvania",37178.0
21795,36212.0,"Coatesville city, Pennsylvania",48695.0
21796,60972.0,"Coburn CDP, Pennsylvania",58651.0
21797,52768.0,"Cochranton borough, Pennsylvania",62015.0
21798,64375.0,"Cochranville CDP, Pennsylvania",69750.0
21799,35682.0,"Cokeburg borough, Pennsylvania",49133.0
21800,105761.0,"Collegeville borough, Pennsylvania",127560.0
21801,47396.0,"Collingdale borough, Pennsylvania",59228.0
21802,44271.0,"Collinsburg CDP, Pennsylvania",66725.0
21803,50460.0,"Colonial Park CDP, Pennsylvania",61237.0
21804,89250.0,"Colony Park CDP, Pennsylvania",112341.0
21805,39625.0,"Columbia borough, Pennsylvania",50196.0
21806,53750.0,"Columbus CDP, Pennsylvania",59836.0
21807,48824.0,"Colver CDP, Pennsylvania",51771.0
21808,40208.0,"Colwyn borough, Pennsylvania",45229.0
21809,23239.0,"Commodore CDP, Pennsylvania",31945.0
21810,77321.0,"Conashaugh Lakes CDP, Pennsylvania",119944.0
21811,73382.0,"Conestoga CDP, Pennsylvania",78071.0
21812,27153.0,"Confluence borough, Pennsylvania",42978.0
21813,49688.0,"Conneaut Lake borough, Pennsylvania",60008.0
21814,48257.0,"Conneaut Lakeshore CDP, Pennsylvania",62174.0
21815,45469.0,"Conneautville borough, Pennsylvania",51341.0
21816,28618.0,"Connellsville city, Pennsylvania",42962.0
21817,68194.0,"Connoquenessing borough, Pennsylvania",87628.0
21818,78801.0,"Conshohocken borough, Pennsylvania",90832.0
21819,51364.0,"Conway borough, Pennsylvania",60891.0
21820,67969.0,"Conyngham borough, Pennsylvania",79318.0
21821,53859.0,"Coopersburg borough, Pennsylvania",80867.0
21822,53125.0,"Cooperstown borough, Pennsylvania",57136.0
21823,49974.0,"Coplay borough, Pennsylvania",59234.0
21824,51776.0,"Coral CDP, Pennsylvania",46777.0
21825,39787.0,"Coraopolis borough, Pennsylvania",47896.0
21826,76725.0,"Cornwall borough, Pennsylvania",88810.0
21827,49886.0,"Cornwells Heights CDP, Pennsylvania",65084.0
21828,42636.0,"Corry city, Pennsylvania",48381.0
21829,41071.0,"Corsica borough, Pennsylvania",47417.0
21830,39489.0,"Coudersport borough, Pennsylvania",53838.0
21831,50682.0,"Courtdale borough, Pennsylvania",57196.0
21832,56125.0,"Crabtree CDP, Pennsylvania",52215.0
21833,51236.0,"Crafton borough, Pennsylvania",63884.0
21834,56944.0,"Cranesville borough, Pennsylvania",62389.0
21835,40750.0,"Creekside borough, Pennsylvania",50524.0
21836,40750.0,"Crenshaw CDP, Pennsylvania",63440.0
21837,38750.0,"Cresson borough, Pennsylvania",48230.0
21838,55667.0,"Cressona borough, Pennsylvania",61915.0
21839,,"Cross Creek CDP, Pennsylvania",82229.0
21840,66875.0,"Cross Roads borough, Pennsylvania",82769.0
21841,28750.0,"Crown CDP, Pennsylvania",41755.0
21842,53574.0,"Croydon CDP, Pennsylvania",65266.0
21843,29722.0,"Crucible CDP, Pennsylvania",36926.0
21844,44559.0,"Cumbola CDP, Pennsylvania",57102.0
21845,37679.0,"Curtisville CDP, Pennsylvania",53026.0
21846,34375.0,"Curwensville borough, Pennsylvania",43039.0
21847,48750.0,"Daisytown borough, Pennsylvania",59334.0
21848,30150.0,"Dale borough, Pennsylvania",38052.0
21849,78661.0,"Dallas borough, Pennsylvania",94531.0
21850,48340.0,"Dallastown borough, Pennsylvania",52692.0
21851,51000.0,"Dalmatia CDP, Pennsylvania",60067.0
21852,75735.0,"Dalton borough, Pennsylvania",101600.0
21853,39833.0,"Danville borough, Pennsylvania",51188.0
21854,34199.0,"Darby borough, Pennsylvania",50725.0
21855,43542.0,"Darlington borough, Pennsylvania",56902.0
21856,69671.0,"Dauberville CDP, Pennsylvania",75890.0
21857,73672.0,"Dauphin borough, Pennsylvania",76083.0
21858,51836.0,"Davidsville CDP, Pennsylvania",72143.0
21859,41346.0,"Dawson borough, Pennsylvania",50861.0
21860,41250.0,"Dayton borough, Pennsylvania",51140.0
21861,56667.0,"Deemston borough, Pennsylvania",63917.0
21862,59407.0,"Deer Lake CDP, Pennsylvania",118312.0
21863,72917.0,"Deer Lake borough, Pennsylvania",82076.0
21864,55781.0,"Defiance CDP, Pennsylvania",47612.0
21865,44000.0,"Delano CDP, Pennsylvania",61537.0
21866,48036.0,"Delaware Water Gap borough, Pennsylvania",61914.0
21867,61989.0,"Delmont borough, Pennsylvania",76861.0
21868,58250.0,"Delta borough, Pennsylvania",65834.0
21869,56667.0,"Denver borough, Pennsylvania",66847.0
21870,39848.0,"Derry borough, Pennsylvania",49900.0
21871,,"DeSales University CDP, Pennsylvania",
21872,156012.0,"Devon CDP, Pennsylvania",205913.0
21873,48063.0,"Dewart CDP, Pennsylvania",68371.0
21874,40833.0,"Dickson City borough, Pennsylvania",55494.0
21875,31643.0,"Dicksonville CDP, Pennsylvania",40793.0
21876,49792.0,"Dillsburg borough, Pennsylvania",59461.0
21877,43750.0,"Donaldson CDP, Pennsylvania",46875.0
21878,37500.0,"Donegal borough, Pennsylvania",58472.0
21879,36150.0,"Donora borough, Pennsylvania",48295.0
21880,58875.0,"Dormont borough, Pennsylvania",69778.0
21881,87639.0,"Dorneyville CDP, Pennsylvania",100281.0
21882,31525.0,"Douglassville CDP, Pennsylvania",45305.0
21883,63073.0,"Dover borough, Pennsylvania",71020.0
21884,60130.0,"Downingtown borough, Pennsylvania",72616.0
21885,73185.0,"Doylestown borough, Pennsylvania",94464.0
21886,41314.0,"Dravosburg borough, Pennsylvania",53771.0
21887,65183.0,"Drexel Hill CDP, Pennsylvania",82875.0
21888,26667.0,"Driftwood borough, Pennsylvania",33313.0
21889,58250.0,"Dry Tavern CDP, Pennsylvania",69579.0
21890,,"Dryville CDP, Pennsylvania",84962.0
21891,53182.0,"Dublin borough, Pennsylvania",71884.0
21892,39264.0,"DuBois city, Pennsylvania",48917.0
21893,48462.0,"Duboistown borough, Pennsylvania",55625.0
21894,37500.0,"Dudley borough, Pennsylvania",46947.0
21895,36328.0,"Dunbar borough, Pennsylvania",48623.0
21896,42381.0,"Duncannon borough, Pennsylvania",52433.0
21897,40982.0,"Duncansville borough, Pennsylvania",48087.0
21898,39531.0,"Dunlevy borough, Pennsylvania",53646.0
21899,31000.0,"Dunlo CDP, Pennsylvania",29008.0
21900,48096.0,"Dunmore borough, Pennsylvania",62080.0
21901,62153.0,"Dunnstown CDP, Pennsylvania",71444.0
21902,49183.0,"Dupont borough, Pennsylvania",69650.0
21903,21495.0,"Duquesne city, Pennsylvania",46139.0
21904,53320.0,"Duryea borough, Pennsylvania",70692.0
21905,24583.0,"Dushore borough, Pennsylvania",39651.0
21906,,"Eagle Lake CDP, Pennsylvania",
21907,108750.0,"Eagles Mere borough, Pennsylvania",120446.0
21908,94063.0,"Eagleview CDP, Pennsylvania",111015.0
21909,59286.0,"Eagleville CDP (Centre County), Pennsylvania",65252.0
21910,69331.0,"Eagleville CDP (Montgomery County), Pennsylvania",85110.0
21911,55481.0,"Earlston CDP, Pennsylvania",51740.0
21912,44167.0,"East Bangor borough, Pennsylvania",56826.0
21913,57829.0,"East Berlin borough, Pennsylvania",62663.0
21914,48060.0,"East Berwick CDP, Pennsylvania",62908.0
21915,37198.0,"East Brady borough, Pennsylvania",47608.0
21916,46250.0,"East Butler borough, Pennsylvania",55295.0
21917,32679.0,"East Conemaugh borough, Pennsylvania",49883.0
21918,74922.0,"East Earl CDP, Pennsylvania",86972.0
21919,36417.0,"East Freedom CDP, Pennsylvania",41876.0
21920,53556.0,"East Greenville borough, Pennsylvania",68389.0
21921,58259.0,"East Lansdowne borough, Pennsylvania",70272.0
21922,88438.0,"Eastlawn Gardens CDP, Pennsylvania",95914.0
21923,41081.0,"East McKeesport borough, Pennsylvania",51552.0
21924,45361.0,"Easton city, Pennsylvania",59500.0
21925,76298.0,"East Petersburg borough, Pennsylvania",79339.0
21926,25697.0,"East Pittsburgh borough, Pennsylvania",33220.0
21927,66012.0,"East Prospect borough, Pennsylvania",73537.0
21928,44609.0,"East Rochester borough, Pennsylvania",45206.0
21929,46417.0,"East Salem CDP, Pennsylvania",61086.0
21930,34375.0,"East Side borough, Pennsylvania",47940.0
21931,41744.0,"East Stroudsburg borough, Pennsylvania",54716.0
21932,37500.0,"East Uniontown CDP, Pennsylvania",46949.0
21933,33333.0,"Eastvale borough, Pennsylvania",40866.0
21934,41806.0,"East Vandergrift borough, Pennsylvania",44761.0
21935,63333.0,"East Washington borough, Pennsylvania",87182.0
21936,26250.0,"East Waterford CDP, Pennsylvania",44564.0
21937,56149.0,"East York CDP, Pennsylvania",67450.0
21938,45313.0,"Eau Claire borough, Pennsylvania",47640.0
21939,41549.0,"Ebensburg borough, Pennsylvania",58325.0
21940,78578.0,"Economy borough, Pennsylvania",88300.0
21941,66382.0,"Eddington CDP, Pennsylvania",77718.0
21942,44306.0,"Eddystone borough, Pennsylvania",58095.0
21943,,"Edenborn CDP, Pennsylvania",73658.0
21944,73750.0,"Edenburg CDP, Pennsylvania",74484.0
21945,73250.0,"Edgewood borough, Pennsylvania",104746.0
21946,28618.0,"Edgewood CDP, Pennsylvania",39918.0
21947,154545.0,"Edgeworth borough, Pennsylvania",245995.0
21948,98333.0,"Edie CDP, Pennsylvania",87927.0
21949,35829.0,"Edinboro borough, Pennsylvania",49178.0
21950,35668.0,"Edwardsville borough, Pennsylvania",44960.0
21951,88169.0,"Effort CDP, Pennsylvania",87429.0
21952,77014.0,"Egypt CDP, Pennsylvania",95962.0
21953,34107.0,"Ehrenfeld borough, Pennsylvania",42169.0
21954,46544.0,"Eighty Four CDP, Pennsylvania",68206.0
21955,42813.0,"Elco borough, Pennsylvania",50024.0
21956,44375.0,"Elderton borough, Pennsylvania",57301.0
21957,41944.0,"Eldred borough, Pennsylvania",56185.0
21958,65000.0,"Elgin borough, Pennsylvania",68716.0
21959,57139.0,"Elim CDP, Pennsylvania",66770.0
21960,37014.0,"Elizabeth borough, Pennsylvania",52149.0
21961,57006.0,"Elizabethtown borough, Pennsylvania",68517.0
21962,40208.0,"Elizabethville borough, Pennsylvania",53118.0
21963,40357.0,"Elkland borough, Pennsylvania",51658.0
21964,46250.0,"Ellport borough, Pennsylvania",61318.0
21965,50735.0,"Ellsworth borough, Pennsylvania",54268.0
21966,41979.0,"Ellwood City borough, Pennsylvania",53621.0
21967,21900.0,"Elrama CDP, Pennsylvania",32632.0
21968,62083.0,"Elverson borough, Pennsylvania",79584.0
21969,53667.0,"Elysburg CDP, Pennsylvania",68787.0
21970,63750.0,"Emerald Lakes CDP, Pennsylvania",70058.0
21971,50781.0,"Emigsville CDP, Pennsylvania",67773.0
21972,48750.0,"Emlenton borough, Pennsylvania",54729.0
21973,55263.0,"Emmaus borough, Pennsylvania",66551.0
21974,34620.0,"Emporium borough, Pennsylvania",53063.0
21975,55399.0,"Emsworth borough, Pennsylvania",65197.0
21976,32122.0,"Englewood CDP, Pennsylvania",50949.0
21977,43864.0,"Enhaut CDP, Pennsylvania",56532.0
21978,37431.0,"Enlow CDP, Pennsylvania",59749.0
21979,48140.0,"Enola CDP, Pennsylvania",53791.0
21980,37708.0,"Enon Valley borough, Pennsylvania",48219.0
21981,50303.0,"Ephrata borough, Pennsylvania",61087.0
21982,35205.0,"Erie city, Pennsylvania",46218.0
21983,52031.0,"Ernest borough, Pennsylvania",57462.0
21984,52865.0,"Espy CDP, Pennsylvania",61981.0
21985,44615.0,"Etna borough, Pennsylvania",55903.0
21986,134813.0,"Evansburg CDP, Pennsylvania",150631.0
21987,46486.0,"Evans City borough, Pennsylvania",58965.0
21988,32205.0,"Everett borough, Pennsylvania",50120.0
21989,35192.0,"Everson borough, Pennsylvania",43361.0
21990,39113.0,"Exeter borough, Pennsylvania",61392.0
21991,42250.0,"Export borough, Pennsylvania",47435.0
21992,72121.0,"Exton CDP, Pennsylvania",96767.0
21993,45833.0,"Eyers Grove CDP, Pennsylvania",53459.0
21994,55000.0,"Factoryville borough, Pennsylvania",60513.0
21995,40733.0,"Fairchance borough, Pennsylvania",50477.0
21996,29271.0,"Fairdale CDP, Pennsylvania",49325.0
21997,52813.0,"Fairfield borough, Pennsylvania",57290.0
21998,69338.0,"Fairhope CDP, Pennsylvania",74226.0
21999,64491.0,"Fairless Hills CDP, Pennsylvania",76273.0
22000,60313.0,"Fairview borough, Pennsylvania",60145.0
22001,70250.0,"Fairview CDP, Pennsylvania",72301.0
22002,37194.0,"Fairview-Ferndale CDP, Pennsylvania",47250.0
22003,45833.0,"Falls Creek borough, Pennsylvania",51137.0
22004,39375.0,"Fallston borough, Pennsylvania",56304.0
22005,50000.0,"Falmouth CDP, Pennsylvania",51042.0
22006,40917.0,"Farmersville CDP, Pennsylvania",47077.0
22007,42813.0,"Farmington CDP, Pennsylvania",52517.0
22008,31639.0,"Farrell city, Pennsylvania",40494.0
22009,61964.0,"Fawn Grove borough, Pennsylvania",71611.0
22010,64545.0,"Fawn Lake Forest CDP, Pennsylvania",85033.0
22011,44669.0,"Faxon CDP, Pennsylvania",67758.0
22012,32981.0,"Fayette City borough, Pennsylvania",40644.0
22013,45275.0,"Fayetteville CDP, Pennsylvania",53592.0
22014,53839.0,"Feasterville CDP, Pennsylvania",67715.0
22015,60455.0,"Fellsburg CDP, Pennsylvania",66839.0
22016,57292.0,"Felton borough, Pennsylvania",67459.0
22017,42027.0,"Ferndale borough, Pennsylvania",45534.0
22018,44766.0,"Fernville CDP, Pennsylvania",64630.0
22019,32188.0,"Finleyville borough, Pennsylvania",46501.0
22020,61098.0,"Fivepointville CDP, Pennsylvania",77558.0
22021,68476.0,"Fleetwood borough, Pennsylvania",80473.0
22022,40417.0,"Flemington borough, Pennsylvania",48522.0
22023,,"Flora Dale CDP, Pennsylvania",
22024,104625.0,"Flourtown CDP, Pennsylvania",119708.0
22025,59583.0,"Flying Hills CDP, Pennsylvania",69911.0
22026,60750.0,"Folcroft borough, Pennsylvania",64714.0
22027,82216.0,"Folsom CDP, Pennsylvania",87941.0
22028,50909.0,"Foot of Ten CDP, Pennsylvania",57088.0
22029,36528.0,"Force CDP, Pennsylvania",43142.0
22030,32552.0,"Ford City borough, Pennsylvania",48344.0
22031,48333.0,"Ford Cliff borough, Pennsylvania",54592.0
22032,37208.0,"Forest City borough, Pennsylvania",50895.0
22033,63563.0,"Forest Hills borough, Pennsylvania",78635.0
22034,54861.0,"Forestville CDP, Pennsylvania",61844.0
22035,33750.0,"Forksville borough, Pennsylvania",50584.0
22036,148000.0,"Fort Indiantown Gap CDP, Pennsylvania",116957.0
22037,35125.0,"Fort Loudon CDP, Pennsylvania",46730.0
22038,114853.0,"Fort Washington CDP, Pennsylvania",158072.0
22039,56406.0,"Forty Fort borough, Pennsylvania",70309.0
22040,48421.0,"Foster Brook CDP, Pennsylvania",58913.0
22041,41094.0,"Foundryville CDP, Pennsylvania",46616.0
22042,45790.0,"Fountain Hill borough, Pennsylvania",63568.0
22043,,"Fountain Springs CDP, Pennsylvania",30048.0
22044,38750.0,"Foxburg borough, Pennsylvania",49057.0
22045,148553.0,"Fox Chapel borough, Pennsylvania",251523.0
22046,91500.0,"Fox Chase CDP, Pennsylvania",101339.0
22047,49219.0,"Frackville borough, Pennsylvania",55161.0
22048,61667.0,"Frankfort Springs borough, Pennsylvania",58998.0
22049,35000.0,"Franklin borough, Pennsylvania",42738.0
22050,35864.0,"Franklin city, Pennsylvania",49368.0
22051,121661.0,"Franklin Park borough, Pennsylvania",151924.0
22052,42266.0,"Franklintown borough, Pennsylvania",53349.0
22053,41304.0,"Fredericksburg CDP (Crawford County), Pennsylvania",51844.0
22054,56369.0,"Fredericksburg CDP (Lebanon County), Pennsylvania",58877.0
22055,36386.0,"Fredericktown CDP, Pennsylvania",51595.0
22056,39667.0,"Fredonia borough, Pennsylvania",44997.0
22057,56111.0,"Freeburg borough, Pennsylvania",62469.0
22058,37778.0,"Freedom borough, Pennsylvania",47725.0
22059,49306.0,"Freeland borough, Pennsylvania",55164.0
22060,60284.0,"Freemansburg borough, Pennsylvania",66657.0
22061,42107.0,"Freeport borough, Pennsylvania",50146.0
22062,54720.0,"Friedens CDP, Pennsylvania",62477.0
22063,51484.0,"Friedensburg CDP, Pennsylvania",63610.0
22064,67679.0,"Friendsville borough, Pennsylvania",57839.0
22065,32250.0,"Frizzleburg CDP, Pennsylvania",35071.0
22066,48021.0,"Frystown CDP, Pennsylvania",56145.0
22067,51121.0,"Fullerton CDP, Pennsylvania",60793.0
22068,41000.0,"Galeton borough, Pennsylvania",50810.0
22069,39327.0,"Gallitzin borough, Pennsylvania",48631.0
22070,73558.0,"Gap CDP, Pennsylvania",82338.0
22071,42740.0,"Garden View CDP, Pennsylvania",47221.0
22072,51354.0,"Gardners CDP, Pennsylvania",55068.0
22073,40417.0,"Garrett borough, Pennsylvania",43431.0
22074,54861.0,"Gastonville CDP, Pennsylvania",62452.0
22075,60313.0,"Geistown borough, Pennsylvania",68957.0
22076,62188.0,"Geneva CDP, Pennsylvania",64102.0
22077,51000.0,"Georgetown borough, Pennsylvania",60594.0
22078,52875.0,"Georgetown CDP (Lancaster County), Pennsylvania",63841.0
22079,55469.0,"Georgetown CDP (Luzerne County), Pennsylvania",59183.0
22080,39519.0,"Gettysburg borough, Pennsylvania",54362.0
22081,85417.0,"Gibraltar CDP, Pennsylvania",81947.0
22082,86522.0,"Gibsonia CDP, Pennsylvania",95094.0
22083,40938.0,"Gilberton borough, Pennsylvania",43704.0
22084,70313.0,"Gilbertsville CDP, Pennsylvania",80714.0
22085,53194.0,"Girard borough, Pennsylvania",67744.0
22086,36190.0,"Girardville borough, Pennsylvania",43034.0
22087,30833.0,"Glasgow borough, Pennsylvania",33250.0
22088,37982.0,"Glassport borough, Pennsylvania",46154.0
22089,68125.0,"Glenburn CDP, Pennsylvania",117862.0
22090,41500.0,"Glen Campbell borough, Pennsylvania",53300.0
22091,60625.0,"Glendon borough, Pennsylvania",94166.0
22092,76750.0,"Glenfield borough, Pennsylvania",92055.0
22093,63333.0,"Glen Hope borough, Pennsylvania",65206.0
22094,32813.0,"Glen Lyon CDP, Pennsylvania",45478.0
22095,60490.0,"Glenolden borough, Pennsylvania",65792.0
22096,136250.0,"Glen Osborne borough, Pennsylvania",189064.0
22097,64028.0,"Glen Rock borough, Pennsylvania",71863.0
22098,74104.0,"Glenshaw CDP, Pennsylvania",85898.0
22099,83735.0,"Glenside CDP, Pennsylvania",102637.0
22100,53917.0,"Gold Key Lake CDP, Pennsylvania",70231.0
22101,59881.0,"Goldsboro borough, Pennsylvania",70188.0
22102,65811.0,"Goodville CDP, Pennsylvania",75324.0
22103,54808.0,"Gordon borough, Pennsylvania",69609.0
22104,46000.0,"Gordonville CDP, Pennsylvania",46028.0
22105,87167.0,"Gouglersville CDP, Pennsylvania",89896.0
22106,58523.0,"Gouldsboro CDP, Pennsylvania",80485.0
22107,16364.0,"Graceton CDP, Pennsylvania",22987.0
22108,48889.0,"Grampian borough, Pennsylvania",50542.0
22109,81094.0,"Grantley CDP, Pennsylvania",128020.0
22110,41875.0,"Granville CDP, Pennsylvania",46250.0
22111,61157.0,"Grapeville CDP, Pennsylvania",54733.0
22112,43370.0,"Grassflat CDP, Pennsylvania",52138.0
22113,49097.0,"Gratz borough, Pennsylvania",58733.0
22114,51293.0,"Grazierville CDP, Pennsylvania",57651.0
22115,36438.0,"Great Bend borough, Pennsylvania",45779.0
22116,55670.0,"Greencastle borough, Pennsylvania",74163.0
